,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,4,794,0.005037783375314861
1,400,no_priors,no_fit,char,40,SNJ,1,2,794,0.0025188916876574307
2,400,no_priors,no_fit,char,40,SNJ,2,6,794,0.007556675062972292
3,400,no_priors,no_fit,char,40,SNJ,3,12,794,0.015113350125944584
4,400,no_priors,no_fit,char,40,SNJ,4,2,794,0.0025188916876574307
5,400,no_priors,no_fit,char,40,SNJ,5,0,794,0.0
6,400,no_priors,no_fit,char,40,SNJ,6,2,794,0.0025188916876574307
7,400,no_priors,no_fit,char,40,SNJ,7,6,794,0.007556675062972292
8,400,no_priors,no_fit,char,40,SNJ,8,4,794,0.005037783375314861
9,400,no_priors,no_fit,char,40,SNJ,9,0,794,0.0
10,400,no_priors,no_fit,char,40,SNJ,10,2,794,0.0025188916876574307
11,400,no_priors,no_fit,char,40,SNJ,11,10,794,0.012594458438287154
12,400,no_priors,no_fit,char,40,SNJ,12,8,794,0.010075566750629723
13,400,no_priors,no_fit,char,40,SNJ,13,2,794,0.0025188916876574307
14,400,no_priors,no_fit,char,40,SNJ,14,8,794,0.010075566750629723
15,400,no_priors,no_fit,char,40,SNJ,15,8,794,0.010075566750629723
16,400,no_priors,no_fit,char,40,SNJ,16,6,794,0.007556675062972292
17,400,no_priors,no_fit,char,40,SNJ,17,6,794,0.007556675062972292
18,400,no_priors,no_fit,char,40,SNJ,18,6,794,0.007556675062972292
19,400,no_priors,no_fit,char,40,SNJ,19,4,794,0.005037783375314861
20,400,no_priors,no_fit,char,40,SNJ,20,0,794,0.0
21,400,no_priors,no_fit,char,40,SNJ,21,4,794,0.005037783375314861
22,400,no_priors,no_fit,char,40,SNJ,22,0,794,0.0
23,400,no_priors,no_fit,char,40,SNJ,23,2,794,0.0025188916876574307
24,400,no_priors,no_fit,char,40,SNJ,24,2,794,0.0025188916876574307
25,400,no_priors,no_fit,char,40,SNJ,25,2,794,0.0025188916876574307
26,400,no_priors,no_fit,char,40,SNJ,26,4,794,0.005037783375314861
27,400,no_priors,no_fit,char,40,SNJ,27,4,794,0.005037783375314861
28,400,no_priors,no_fit,char,40,SNJ,28,6,794,0.007556675062972292
29,400,no_priors,no_fit,char,40,SNJ,29,2,794,0.0025188916876574307
30,400,no_priors,no_fit,char,40,SNJ,30,2,794,0.0025188916876574307
31,400,no_priors,no_fit,char,40,SNJ,31,0,794,0.0
32,400,no_priors,no_fit,char,40,SNJ,32,4,794,0.005037783375314861
33,400,no_priors,no_fit,char,40,SNJ,33,4,794,0.005037783375314861
34,400,no_priors,no_fit,char,40,SNJ,34,2,794,0.0025188916876574307
35,400,no_priors,no_fit,char,40,SNJ,35,2,794,0.0025188916876574307
36,400,no_priors,no_fit,char,40,SNJ,36,12,794,0.015113350125944584
37,400,no_priors,no_fit,char,40,SNJ,37,4,794,0.005037783375314861
38,400,no_priors,no_fit,char,40,SNJ,38,0,794,0.0
39,400,no_priors,no_fit,char,40,SNJ,39,2,794,0.0025188916876574307
40,400,no_priors,no_fit,char,40,SNJ,40,4,794,0.005037783375314861
41,400,no_priors,no_fit,char,40,SNJ,41,2,794,0.0025188916876574307
42,400,no_priors,no_fit,char,40,SNJ,42,4,794,0.005037783375314861
43,400,no_priors,no_fit,char,40,SNJ,43,6,794,0.007556675062972292
44,400,no_priors,no_fit,char,40,SNJ,44,2,794,0.0025188916876574307
45,400,no_priors,no_fit,char,40,SNJ,45,6,794,0.007556675062972292
46,400,no_priors,no_fit,char,40,SNJ,46,4,794,0.005037783375314861
47,400,no_priors,no_fit,char,40,SNJ,47,2,794,0.0025188916876574307
48,400,no_priors,no_fit,char,40,SNJ,48,4,794,0.005037783375314861
49,400,no_priors,no_fit,char,40,SNJ,49,2,794,0.0025188916876574307
